(2d, 7h, Td, Tc, Ts)
(5h, 5c, 9d, 9h, Ad)
(5d, Js, Qc, Qs, As)
(2d, 7d, Tc, Td, Jh)
(7d, 8s, 9d, Kc, Ad)
(7s, Jd, Qc, Ks, Ad)
(2d, Jd, Jc, Kc, Ac)
(2d, 8h, 9h, 9c, Qs)
(2c, 5d, 8s, 8h, Jd)
(2s, 4h, 9c, Js, Ks)
(7s, 8h, 8d, 9h, Qs)
(3c, 5s, 8h, Td, Kd)
(3s, 4s, 7d, Qs, Kc)
(3s, 6s, 7s, 8c, Qh)
(3d, 8d, 8c, Qh, Kd)
(5s, Qd, Qs, Kd, Ac)
(3h, 4h, 5c, 6d, Ad)
(3h, 5h, 6h, 9s, Jd)
(4h, 8c, 9c, Td, Ac)
(2d, 4h, 4d, 8c, Ah)
(2h, Js, Qd, Ks, Kh)
(4d, 4s, 6c, 9h, Qh)
(2s, 5d, 5c, 6c, 7h)
(2d, 4s, 8c, 9h, Qh)
(2h, 5s, 9s, Td, Ts)
(3s, 6s, Kh, Ad, Ac)
(5d, 6c, 6h, 7d, 9c)
(7c, 8h, Kd, Ks, Ah)
(2h, 3d, 4h, 8s, Ad)
(2d, 5s, 6h, 8d, Qh)
(3c, 6h, Td, Js, As)
(3c, 4h, 6s, 8c, Qh)
(4c, 4d, Th, Jh, Kd)
(6h, 8c, 9c, Qc, Ah)
(6c, 7s, 8s, 8c, Qc)
(3s, 3h, 4d, 7d, 9c)
(5c, 7c, 7h, Ts, Ah)
(2s, 3s, 5h, 9s, 9c)
(2s, 6d, 9d, Qh, Qd)
(4c, 5c, 9s, Ts, As)
(2d, 3c, 9h, Kh, As)
(4h, 7d, Ts, Js, Ac)
(3h, 7s, 8c, Ts, Tc)
(4c, Td, Qd, Kh, As)
(3h, 4c, Jd, Jh, Kc)
(2s, 3s, 4s, 9c, Ts)
(2h, 6s, 6h, 6d, Ks)
(3d, 9c, 9d, Th, Jc)
(2s, 2h, 8c, Js, Qd)
(2d, 5s, 9s, Ts, Ad)
(3c, 6h, 7s, 9s, Ah)
(2d, 3d, 4s, 6s, 7s)
(2h, 2s, 3d, 6c, 7s)
(3h, 5d, Jd, Qh, Ks)
(2h, 3s, 4h, 6h, Ah)
(2s, 4c, 5h, Qh, Ks)
(2h, 5s, 9s, Qs, Kd)
(9c, 9d, Jh, Qh, Ah)
(2h, 3c, 3s, 3d, Th)
(3s, 5d, 7s, 7h, Ad)
(4d, 5h, 7s, 8h, Kc)
(2c, 4s, Td, Jc, Ks)
(3h, 4s, 4h, 5h, Kc)
(5c, 8d, 9c, Qd, Kd)
(2s, 3d, 8d, Qs, Ah)
(3s, 4d, 6c, 7s, Kc)
(5s, 6s, 7c, 8c, Ad)
(3c, 4d, 6s, 8c, Th)
(6c, 7s, 9c, Jh, As)
(3c, Ts, Th, Qd, Ad)
(3c, 3h, 7s, 9d, Ah)
(2d, 3c, 5h, 6h, Td)
(6d, 7c, 7d, 8c, Th)
(4d, 5h, 6s, 8c, Jd)
(2c, 8h, Jd, Ah, Ad)
(6s, 9d, Ts, Ks, Ac)
(3d, 6h, 8c, Tc, Jc)
(2s, 6d, 7c, 7h, 9c)
(2d, 3d, Jh, Qc, Ad)
(3c, 7d, 9c, 9h, Jd)
(2h, 4s, 5c, 5s, 9c)
(3d, 5c, 8c, 8h, As)
(2c, 4s, 7c, 9c, As)
(2s, 3c, 5h, 9d, Js)
(4d, 5s, 7h, Tc, Kc)
(3s, 4d, Td, Js, Qs)
(2d, 7c, Td, Jh, Ad)
(2d, 6s, 6c, 8s, Js)
(2d, 2h, 4s, 5h, Ac)
(3c, 8c, 9d, Js, Ah)
(2s, 3d, 5c, 7c, Tc)
(5s, 7s, 8h, Td, Jd)
(2c, 4h, 6d, 9h, Js)
(2d, 6h, 7h, 8s, Qd)
(2d, 3h, 7d, Jh, As)
(3s, 3c, 6c, Kc, Ah)
(2s, 8d, Ts, Td, Ks)
(4d, 5s, 6h, Ad, Ac)
(6d, 7h, 8d, Jh, Ah)
(2d, 6s, Th, Qs, Qc)
(2s, 3h, 4d, 5d, 7c)
(2s, 3h, 3c, 4h, 6c)
(4h, 7d, 9d, Kc, Ah)
(3h, 3c, 5c, 6c, Th)
(6c, 8c, 9s, Ts, Jh)
(2h, 7s, 9d, Th, Jd)
(7s, 9s, Qc, Qd, Ah)
(2s, 5d, 8h, Qc, Kd)
(4c, 6d, 7d, Ah, Ad)
(2c, 4h, 5d, 7d, 9h)
(6s, 7s, 8d, Kd, As)
(2d, 7c, Jd, Qc, Qh)
(4h, 5s, 7d, 9d, Ts)
(7s, 9d, Td, Qd, Kd)
(2c, 2h, 3s, 6s, 6c)
(5d, 9h, Jh, Js, Ks)
(Td, Jd, Qh, Kh, Ad)
(2d, 3c, 6h, 7d, Qd)
(2s, 4s, 6s, Qh, Ac)
(3s, 4d, 5c, Kd, Ks)
(3c, 5c, 6h, Qh, Kh)
(2c, 2h, 3s, 3d, 7d)
(7d, 9c, Td, Ts, Jh)
(2c, 5s, 6c, Tc, Ts)
(2s, 3h, Tc, Jd, Ac)
(3d, 4c, 6c, Th, Jd)
(4c, 4s, 5c, 7h, Jd)
(3h, 7h, Td, Qc, Qh)
(8c, Ts, Qs, Qh, As)
(4c, Ts, Jh, Qh, Kd)
(2c, 2h, 4d, 7h, Qs)
(3s, 7h, 8c, Qc, Kc)
(2s, 6c, 8s, Jc, Ks)
(2c, 3s, Th, Ts, Jc)
(4s, 4h, Th, Td, Jc)
(2s, 5s, 8c, 9s, Qd)
(4h, 8s, 9c, Jc, Kd)
(4c, 9c, Qs, Kc, Ac)
(2h, 4d, 6d, Td, As)
(4h, 6s, 9d, Td, Qc)
(6h, 7c, Qs, Qd, Kh)
(2s, 7h, Tc, Jh, Ks)
(4h, 5h, 5c, Kh, Ac)
(5c, 9s, Ts, Js, Jd)
(8c, 9d, 9h, Qs, Kh)
(9c, Th, Qc, Qd, Ah)
(4d, 5h, 9h, Jc, Ks)
(4s, 5s, Th, Js, As)
(4h, 8s, Ts, Jd, Ah)
(6d, 6c, 7c, Tc, Kh)
(2c, 3d, 6s, Tc, Qd)
(4h, 6h, 6c, 7s, Ks)
(2s, 5d, 8h, Jc, Jd)
(4c, 5d, 7h, Jh, Qc)
(5h, 6h, 9s, Td, Qh)
(6d, 8c, 9d, Th, As)
(4c, 8d, 9h, 9d, Tc)
(2h, 3d, 4c, 7h, 9d)
(2h, 3c, 4c, 7d, 8h)
(6s, 7h, 9s, Jd, Ac)
(2s, 7h, Jd, Qd, Ks)
(3h, 7d, Qs, Kh, Ac)
(6h, 8d, Jd, Qh, Ah)
(4c, 4d, 5c, 7s, Qd)
(2h, 2c, 6h, 6c, Ts)
(2s, 3s, 4s, 9d, Ts)
(2c, 3s, Jd, Kd, Ah)
(6c, 8h, Td, Js, Jc)
(2s, 5h, 8h, Kh, As)
(2c, 6d, 7c, 8s, 9h)
(4d, 6s, 7c, 8c, 9d)
(2s, 4c, 6s, 8c, 9s)
(8d, Jh, Qd, Qc, Ad)
(3h, 5d, 7s, 9d, Ah)
(4d, 5s, Qs, Kh, Ac)
(5h, 7d, 9d, Jh, Kh)
(2d, 3s, 6s, 8c, Qh)
(2d, 3d, 4s, 6s, Ks)
(3h, 5h, 6h, 7h, Td)
(3s, 5h, 6d, 8h, Ad)
(3s, 7c, 8h, Ks, Kc)
(2d, 2s, 4c, 5s, 8c)
(2c, 3s, 7s, 9s, Ah)
(2h, 3d, 6s, 8h, Kh)
(4h, Ts, Js, Qc, Kd)
(2c, 7h, Th, Ts, Jd)
(2s, 3c, 7d, 9d, Kd)
(2h, 4h, 6d, Th, Kd)
(4h, 6d, Kh, Kd, Ad)
(2c, 6s, 7h, Ts, Jc)
(5s, 7d, 8h, 9s, Qh)
(2c, 3c, 8c, Jc, Qd)
(Td, Jh, Qh, As, Ac)
(2h, 3s, 9c, Qs, Qc)
(2h, 3h, 4s, 8d, Js)
(3c, 3d, 6h, 9h, Qd)
(4c, 8d, 9c, Ts, Kc)
(2d, 4s, 8c, Tc, Qh)
(5s, 8c, Jc, Ks, Ah)
(2h, 3c, 4h, 5h, 8d)
(6h, 7d, 9h, Jc, Jd)
(4c, 7s, 8h, Js, Qs)
(2h, 3s, 5d, 7h, Kc)
(2c, 4s, 9h, 9d, Kd)
(5s, 7h, 9s, Ad, Ah)
(2h, 2d, 4c, 7c, 8d)
(5s, 5d, Th, Qh, Ac)
(4d, 7c, 7d, Td, Kh)
(4c, 6h, 9s, Qc, Kh)
(3c, 4h, Td, Qh, Ks)
(3d, 5h, 5c, 6h, 8h)
(2s, 5c, 5s, Ts, Kh)
(5c, 7h, 8c, 8s, Jc)
(7c, 9d, Jh, Jd, Qc)
(6c, 8h, 9h, Jc, Qs)
(2d, 2c, 4s, Qc, Ad)
(6s, 7c, 8s, 9c, Td)
(3d, 6c, 7c, 9h, Ac)
(2d, 7d, Jh, Qc, Ad)
(2c, 4s, 7c, 9s, Jd)
(4s, Jh, Jc, Qd, Ac)
(3s, 5d, 6s, Td, Ac)
(3d, Js, Jh, Qh, Ks)
(5s, 7h, Js, Qh, Ad)
(6s, 8d, Td, Ks, Kc)
(8d, 8h, Ts, Kh, Ac)
(5d, 7s, 9h, Jh, Ac)
(2c, Qc, Qh, Kh, As)
(2d, 5d, 8c, Qd, Ks)
(2c, 6d, 6c, Ts, Th)
(4c, 5h, 9s, Kc, Kd)
(2c, 5h, Js, Jh, Ac)
(2h, 3c, 9d, Ts, Kc)
(2d, 2c, 5h, 7d, Qh)
(5s, 8c, Qh, Ah, Ad)
(6s, Jc, Qh, Kc, Ah)
(3d, 6s, 9h, Jd, Kh)
(3s, 4c, 5s, Js, Ks)
(5h, 5s, 5c, Td, Kd)
(5h, 9h, 9c, 9s, Td)
(4c, 7c, Jc, Jd, Kh)
(4c, 4h, 8h, 9d, As)
(4d, 8c, Th, Jd, Ks)
(6h, 7s, 8d, Qh, As)
(2d, 4d, Tc, Qh, As)
(2s, 3d, 9c, Qc, Kh)
(2c, 4h, 9h, Kh, Ad)
(4c, 6c, 6d, Qc, Kd)
(3s, 4s, 9h, Td, Kd)
(6h, 7d, Jc, Qh, Kc)
(4d, 5h, 5s, 5c, Ac)
(3d, 5s, 7s, Tc, Kd)
(2c, 6c, 7s, Jd, Js)
(3c, 6s, 7d, Td, Kd)
(5h, 8d, Td, Js, Qs)
(4d, 5s, 5c, 8d, Qh)
(3s, 9s, Kc, Ks, Ac)
(6c, Qc, Kc, Ad, As)
(2s, 7d, 8c, Qs, Kh)
(6c, Ts, Js, Jc, Ad)
(2d, 3s, 5d, 7s, Ts)
(7h, 8h, 9s, Jh, Kh)
(3h, 5h, Tc, Qc, Kd)
(3h, 4d, 6c, Kh, Ac)
(2h, 6h, 8s, Jd, Jh)
(6h, 9d, Ts, Qs, Ks)
(2c, 3s, 8h, 9d, 9h)
(5s, 9d, Jh, Qc, Ah)
(2h, 5h, 6c, 9d, Qh)
(3s, 5s, 5d, 8d, Jd)
(3c, 5h, 9s, Ah, As)
(2s, 4s, 9h, Jd, Jc)
(2s, 3h, Td, Jh, Ks)
(2s, 3c, Ts, Td, Kh)
(4h, 5h, 7d, Kd, Ah)
(2c, 4c, Ts, Qs, Ks)
(6h, 8c, Ts, Kc, Ks)
(5d, 7d, 8c, Kd, As)
(4d, 5d, 6h, 7h, 9c)
(4h, 8h, 9h, 9s, Qs)
(2s, 8c, 9h, Kh, Ad)
(2c, 3s, 7h, 8h, 9s)
(3d, 5d, 6s, 9c, Ts)
(2d, 5s, 6s, Qd, As)
(3s, 4s, 7h, Jd, Jc)
(2s, 4h, 6s, 7s, Qc)
(5s, 7s, 9c, Td, Tc)
(2d, 3s, 4d, 5c, As)
(2d, 3h, 3c, 4d, Qh)
(2d, 4c, 6d, 9h, Jh)
(2d, 2h, 3h, 5d, Kh)
(3s, 7d, 8s, 9h, Kd)
(3h, 4c, 5c, 6d, 8h)
(5c, 7s, 7c, 9d, Ts)
(3c, 5d, 8d, Jc, Ah)
(2c, 3d, 5d, 6d, Jd)
(6s, 9d, Th, Js, Kd)
(2c, 5d, Jh, Ks, Ad)
(2d, 3d, 7d, 9h, Jd)
(4h, 6h, 6c, 8c, Td)
(5s, 6c, Td, Jh, Kc)
(2h, 3d, 7d, 7s, Jc)
(3c, 6s, 6c, 8s, Tc)
(3d, 5d, 9s, Tc, As)
(5s, 5h, 8c, Td, Js)
(2d, 4c, 5h, 5s, Td)
(4d, 7h, 8c, 9c, As)
(2h, 3d, Ts, Jd, Ac)
(2c, 5c, 7d, 9c, 9d)
(4h, 5c, 5d, 6h, 9h)
(3d, 4d, 7c, 8s, Jh)
(5d, 7c, 8h, Js, Kd)
(3c, 4d, 7c, Ts, Qh)
(2c, 2d, 6d, Kh, Ad)
(2c, 7h, Jd, Qd, Qh)
(4s, 4c, 7h, Ts, Js)
(5c, Jh, Qh, Qd, Ks)
(2c, 2h, 4h, 8d, Qd)
(5d, 8c, Th, Qd, As)
(6h, 8h, 9h, Tc, Qd)
(2s, 5d, Th, Qh, Ac)
(3s, 5s, 7h, Js, Ah)
(3c, 5h, 6c, 7h, 8c)
(3c, 8c, 8h, Js, Ac)
(4h, 7c, Th, Tc, Jc)
(5h, Th, Ks, Kh, As)
(2s, 3h, 4c, 6d, Th)
(2s, 2h, 3s, 9d, As)
(9h, Ts, Tc, Qh, Kh)
(3h, Ts, Tc, Td, Jc)
(3c, 6d, 7d, 9s, Qs)
(2d, 3c, 5s, 7d, 8d)
(6d, 8s, Th, Qd, Ks)
(3h, 4d, 7h, 7d, Qh)
(3d, 4c, 6s, 7h, Jd)
(2d, 5d, Td, Qs, Ks)
(4s, 6d, 9s, Js, Kh)
(2s, 6h, 7d, 9s, As)
(2h, 2c, 3h, 4c, 7c)
(2h, 3c, 5c, Td, Js)
(3c, 5h, 7s, Jh, Qc)
(6c, 7s, Qs, Kd, Ah)
(3s, 4d, 5c, 5d, 7d)
(Ts, Jc, Js, Kh, Ac)
(3c, 7h, 8d, 9s, Qh)
(6c, 7c, 9d, Qd, Ad)
(3s, 4s, Jh, Kh, Ad)
(7h, 7c, Ts, Kh, As)
(3d, 6h, 8h, 9h, Qd)
(2c, 3s, 6d, 8d, Js)
(2c, 3h, 6h, 6s, 8s)
(6d, 8c, Qc, Kd, Ks)
(2d, 3d, 8d, Js, Ah)
(3h, 6d, 6s, Td, Jh)
(3s, 9d, 9s, Js, Ad)
(2s, 4s, 5d, 7c, Kh)
(6h, 8d, 8h, Jd, As)
(6h, 8c, 8d, Jd, As)
(3d, 6h, Jc, Kh, Ac)
(2d, 8d, Th, Qs, Ah)
(4s, Td, Ts, Jd, Jc)
(3h, 5c, 9c, Td, Qc)
(2s, 4d, 8s, Jh, Qc)
(6d, 7c, 8h, 9h, Ks)
(3s, 7c, 9d, 9h, Jc)
(2s, 4s, 5h, 7h, 9s)
(4s, 9c, Qh, Kc, Ah)
(4s, 4h, 5h, Jd, Qc)
(2d, 6h, Tc, Jh, Kd)
(2d, 5h, 6d, 7h, 9s)
(3d, 4s, 9h, Jh, Qs)
(4h, 5s, 8h, Jd, As)
(5d, 6h, 9s, 9c, Tc)
(4s, 6d, 9d, Qd, Kc)
(5d, 5h, 6d, 8h, Jc)
(3d, 8d, 8c, 9h, Ks)
(2h, 4d, 4s, 7d, Tc)
(8s, 8d, Ts, Jc, As)
(3h, 4h, 5d, Js, Ah)
(6c, 7c, 9d, 9h, 9c)
(5c, 8c, 9h, Tc, Ts)
(6c, 7s, 8c, 8d, Ah)
(2d, 7c, 9c, Qc, Ad)
(2c, 3s, 7s, Qh, Ac)
(6h, 8c, 9s, Kh, As)
(4s, 6h, 8c, Jh, Kd)
(5d, 6d, 7s, 8h, Ac)
(2h, 2c, 4d, 7c, Tc)
(3s, 5s, 6h, 7s, Ad)
(2c, 4c, 5d, 9h, Js)
(4h, 7d, Kc, Ac, Ad)
(5s, 8d, 8s, Jd, Ks)
(Qh, Ks, Kh, Ad, Ac)
(4d, 5h, 7h, 9h, Js)
(2h, 6c, 7d, 9h, Ah)
(2d, 8s, Js, Ks, Kh)
(8d, 9c, 9s, Jd, Kh)
(3s, 3d, 4c, 6d, Jh)
(2d, 3d, 4h, 6s, Ad)
(4h, 6c, 7s, 8c, Ks)
(5s, 6s, 8h, Ts, Th)
(8c, Jh, Kc, Ah, Ac)
(2d, 4d, 5d, Tc, Ad)
(4h, 5s, 8c, Th, Qs)
(3s, 6h, 7h, Jd, Kc)
(3h, 6d, 8s, Kh, Ad)
(7d, 8d, Jc, Ah, As)
(9c, Ts, Td, Kh, Ac)
(8s, 8c, 9h, Td, Js)
(3d, 5h, 9h, Jh, Kd)
(6d, 6h, 9h, 9d, Kd)
(6d, 8d, 9d, Qs, Ac)
(3c, 4h, 4d, 5s, Ts)
(6d, 7c, Td, Qc, Qd)
(3s, 6h, Jd, Qc, Kh)
(2s, 9s, 9h, Jh, Kd)
(2h, 4d, 7c, Qh, Kd)
(4h, 4s, 9c, Td, Jd)
(4h, 5c, 6s, Kh, Ad)
(2c, 3c, Js, Kd, Kc)
(4s, 6d, 7d, Jc, As)
(2c, 7s, 8s, 9s, Tc)
(3d, 4c, 6c, Qc, Ah)
(4s, 4h, 6d, 8d, 8c)
(3d, 4h, 4d, 8h, Kd)
(3h, 7h, 9s, Kc, Ac)
(2c, 2s, 5c, 7c, Td)
(3s, 6s, 9c, Ks, Ac)
(3c, 9c, Jh, Kd, Ad)
(3h, 8h, Jh, Qd, Qc)
(2h, 3c, 7s, Tc, Qh)
(4s, 5d, 7c, Qd, Ad)
(7c, 8h, Ts, Td, Jd)
(2h, Td, Qc, Qs, Ks)
(7h, 8d, 8h, Qc, Ah)
(2d, 4s, 8d, 9h, Td)
(2h, 9s, Qd, Ad, Ac)
(2h, 9s, Qd, Qh, Ks)
(3c, 6d, 7d, 9s, Tc)
(4c, 5c, Jh, Kc, Ad)
(5c, 9s, Ts, Jc, Ks)
(3h, 4s, 6d, 6c, Jh)
(8s, Td, Js, Qh, Kc)
(6d, 8d, 9h, Jh, Ad)
(5c, 8d, 9s, Jc, Ah)
(2h, 5s, 6s, Qs, As)
(3c, 3d, 7h, Qc, Ad)
(3s, 7h, 8s, Jd, Ks)
(2h, Ts, Jc, Kh, Kc)
(3d, 6d, 7c, 8d, 9d)
(3d, 9d, 9s, Tc, Js)
(2h, 4s, Jh, Jc, Ad)
(3d, 9s, Ts, Jc, Jd)
(7s, 9d, Ts, Ks, Ah)
(2h, 6h, 6s, 8d, 8h)
(5c, 9s, Qd, Qc, Ac)
(5s, 8h, Tc, Qs, Ks)
(2d, 3s, 5c, 6h, Jc)
(3h, 6s, 7h, Td, Tc)
(3s, 6c, 7d, 8s, Tc)
(4d, 5s, 9h, Tc, As)
(7d, 7c, 8s, 8h, 9c)
(3s, 4s, 5d, 6c, Th)
(2s, 5c, 7s, 8h, Ts)
(4d, 6h, 7h, Js, As)
(4h, 8c, 9c, Tc, Ts)
(Jh, Qs, Kh, Ac, As)
(6s, 7h, Ts, Qs, Qd)
(4c, 7s, 8d, Jh, Kc)
(3s, 5c, 7c, 8s, 9h)
(3s, 3h, 5h, As, Ah)
(3h, 6h, 6c, Th, Td)
(3c, 4d, 9c, Ts, Ad)
(2h, 3c, 6c, Ts, Kd)
(2h, 3c, 4h, 9h, Tc)
(2d, Th, Qc, Qh, Kh)
(2d, 3h, 4h, 8c, Td)
(3d, 3s, Kd, As, Ac)
(5c, 7c, 8d, Jh, As)
(3h, 5d, 8s, 9h, As)
(3s, 5d, 5c, 9s, Ah)
(4h, 6s, 9s, Ks, Ad)
(2h, 5d, 8d, Qd, Qh)
(7d, 9s, Ts, Tc, Qc)
(2d, 2s, Qd, As, Ah)
(6c, 9s, 9d, Tc, Jd)
(2h, 5s, 6c, 6h, Th)
(2d, 5c, 7d, Jh, Qc)
(5c, 7h, 8h, Jc, Kc)
(3s, 9h, Td, Jh, Ah)
(2s, 6s, 7d, Ts, Ac)
(2d, 5c, 6d, 8s, Ac)
(3d, 4h, Kc, Kd, Ac)
(2s, 8c, 8s, Ah, Ad)
(6h, Ts, Qd, Ks, As)
(3d, 9s, Tc, Qc, Ah)
(5h, 9c, Jc, Ad, As)
(2s, 5h, 6d, 8s, Kd)
(4h, 9s, 9d, Qh, Ah)
(6d, 7h, 8h, Ts, Kc)
(2h, 8c, Td, Ks, Ac)
(6h, 7d, Qh, Ks, As)
(5d, 6s, 6c, 7s, 8d)
(2c, 4c, 9d, Qh, Ad)
(5h, 7c, 8h, Td, Qs)
(8d, Tc, Ts, Qd, Kc)
(4d, Js, As, Ah, Ad)
(2s, 3c, Jd, Qc, Ks)
(4d, 6h, 6c, 8h, Qc)
(2s, 4h, 7s, Jc, Ks)
(2c, 3c, 9h, Kd, Ks)
(2c, 3d, 7c, 7h, Kd)
(4d, 4c, 8s, Td, Ts)
(4d, 6s, 6h, Qs, Ah)
(6h, 8s, Th, Ts, Kd)
(4c, 7c, 7d, 9c, Th)
(4h, 5c, 7s, 8h, Ad)
(2d, 2h, 8d, 9c, Jd)
(2s, 3c, 9h, Jc, Kd)
(2s, 7c, 8d, 8h, Ac)
(6s, 6c, 7h, Qc, Ah)
(2c, 3h, 8h, 8s, Th)
(3d, 7h, 8c, 9d, Kc)
(3c, 4s, 8h, Th, Qs)
(2c, 2h, 9s, Kd, Ad)
(2d, 5s, 7h, 8d, Qc)
(3h, 3c, 5c, Js, Qh)
(3h, 4s, Jc, Kc, Ad)
(4c, 5h, 6d, 7c, 8s)
(7s, 7c, Jc, Ks, Ah)
(2h, 3d, 4s, 5h, Ts)
(2h, 2d, 5h, 7s, Td)
(2h, 4h, 7s, 8h, Qh)
(6c, 6d, Jh, Kh, Ac)
(2h, 2d, 3c, 5h, Jc)
(2c, 2s, 6s, 8c, Tc)
(6c, 7d, 9c, Th, Js)
(2c, 6c, Qc, Qd, Ah)
(3s, 3h, 4c, 5c, 8h)
(2c, 8s, 8d, 9s, Kd)
(2s, 3c, 6h, Jd, Kd)
(2s, 5h, 9c, 9h, Ac)
(5h, 6s, 6h, 7d, Th)
(5c, 6s, Jh, Kh, As)
(7d, 7h, Ts, Td, As)
(4h, 4d, 9s, 9d, 9h)
(3c, Ts, Jc, Js, Kd)
(4h, 6h, Qh, Kh, Ah)
(2h, 6s, 7c, 7d, 8s)
(2s, 6d, 7s, 9d, As)
(3d, 6c, 8c, Qd, As)
(2c, 3c, 3s, 4h, 8s)
(3h, 6h, 7h, Qc, Ah)
(5h, 5d, 7h, Tc, Qs)
(5h, 5s, 6d, 8c, Qh)
(3h, 9h, Kc, Kh, As)
(5h, 5d, 6s, 6c, Js)
(2s, 3s, 5d, 5s, Qc)
(3d, 4c, 6d, Td, Ks)
(5d, 5s, 6h, 9h, Kc)
(2c, 4d, 9s, Qh, Ad)
(3d, 7s, 8s, Kc, Ks)
(4c, 5h, 8d, 8h, Jd)
(6s, 7s, 7c, 8h, 8d)
(4h, 6h, 9h, Kh, Kd)
(3h, Qs, Kd, Ad, Ah)
(4h, 5c, 9h, 9c, 9d)
(2h, 4h, Jc, Kh, Ad)
(4d, 6h, 6d, Ts, Js)
(2h, 3h, 9h, Jd, Qs)
(3s, 9s, Jh, Qd, As)
(3d, 6h, 9d, Jd, Qs)
(3d, 5d, 5h, 7h, Ac)
(4s, 9s, Td, Jd, Jc)
(3d, 4h, 6d, 8c, Qs)
(2h, 4s, 6h, Qs, Kd)
(4c, 4h, Tc, Kh, Ah)
(4c, 4d, 6c, 9h, Ts)
(2c, 5h, 6d, 6h, Ts)
(2s, 5d, 7h, 9h, Ts)
(2d, 7c, 8s, 9h, Ad)
(6s, 7h, 8s, 9c, Tc)
(3d, 8s, Qs, Qd, Ad)
(4h, 4c, 5h, 8s, Js)
(3c, 5c, 7h, 9h, Tc)
(2s, Th, Jd, Qh, Kc)
(8h, 9h, Td, Jc, Kd)
(2s, 4s, 9c, Kh, Ac)
(2s, 6h, 7h, 7d, Js)
(5d, 6h, 7c, Ts, Jc)
(3h, 5s, 6s, Qd, Ac)
(2c, 3h, 6s, 7c, 7h)
(7h, 9c, Tc, Js, Qc)
(4d, 5h, 6c, 6h, 7s)
(5s, 6s, 7c, Jh, Qs)
(4s, 6s, 7h, Qs, Ah)
(2h, 4c, 4s, 5s, 7h)
(3d, 4s, Th, Qh, Kc)
(2c, 5s, 9c, Jd, Js)
(5d, 8d, Jh, Qh, Kh)
(4c, 5c, 7c, Td, Qh)
(2h, 5h, Js, Jc, Ah)
(3c, 7d, 8s, Jc, Qh)
(5h, 6d, 7d, 7c, Jh)
(4d, 6c, 8d, 8s, Kh)
(4h, Tc, Th, Jd, Qs)
(4h, 5c, 8d, 9d, Kd)
(2d, 7s, 8c, Jd, Qd)
(3s, 5s, 8h, 9d, Ts)
(4s, 6c, Ts, Jh, Qh)
(2h, 8d, 8c, Js, Ac)
(4s, 9h, Tc, Qd, Kc)
(3c, 7h, Td, Ts, Js)
(4c, 8d, 9c, Ks, Kd)
(8h, 8s, Js, Ah, As)
(2s, 8d, Jh, Qd, As)
(2c, 3d, 4d, 5d, Jd)
(4s, 6h, 7s, 8d, Ac)
(4c, 6d, 8h, 9h, Th)
(4c, 7d, 7c, 9s, Tc)
(3s, 6h, Ts, Qs, Kd)
(2h, 6h, 7d, Td, Qc)
(3s, 4d, 5s, 7h, Qs)
(2h, 3c, Js, Kc, Ac)
(5d, 6h, 6c, Js, Ac)
(2h, 6d, 6s, 9d, Qs)
(3d, 4c, 8c, Qc, Ah)
(2d, 4c, 6c, Ad, As)
(2c, 3s, 8h, Jh, Ad)
(4h, 6d, 9s, Kd, Ks)
(7h, 9h, Td, Qh, Kh)
(5d, 8d, 9c, Tc, Qc)
(2d, Ts, Qh, Ks, Ac)
(5s, 7d, 9h, 9c, Ts)
(3d, 6h, 8h, Jh, Kc)
(6h, 8h, 9c, 9s, Qd)
(2h, 6s, 8s, Th, Qs)
(5d, 5s, 6d, 8s, Ac)
(2s, 2h, 5c, 6s, 9d)
(2c, 3h, 6d, 9c, Tc)
(2s, 3c, 6h, Jd, Qs)
(2h, 6h, Tc, Th, Ah)
(3d, 4c, 8d, Ad, Ah)
(4c, 5d, 6s, 6c, Ac)
(2c, 9d, 9c, Qc, Qs)
(7c, 9c, 9s, Ac, As)
(2s, 4d, 6h, 7d, Ts)
(4c, 9s, Qs, Ac, As)
(2d, 4h, 7c, Jc, Kd)
(2c, 3d, 5d, Ts, Js)
(2c, 7c, 8h, Jc, Ad)
(6d, 9d, Td, Jd, Ah)
(4c, 5d, 8d, Jd, Qh)
(7d, Js, Jh, Kd, As)
(6s, 6c, Js, Jd, Qc)
(2c, 3s, Jc, Kh, As)
(2d, 3c, 5s, 5c, Qh)
(2c, 5c, 9s, Jd, Kc)
(9s, Qs, Qd, As, Ah)
(2d, 3s, Tc, Js, Jh)
(7h, 8s, Ts, Jc, Kd)
(2d, 3h, 5s, 8h, Ks)
(6h, 7h, 9s, Jc, Qh)
(3s, 4s, 8c, Jh, Qc)
(2c, 4d, 6c, 8c, Jh)
(3c, 6h, Ts, Jd, Ac)
(3h, 6c, 9d, Jh, Js)
(6h, Th, Qc, Kd, Kh)
(4c, 5h, 7d, 7h, Tc)
(4d, 5h, 7s, 8c, Kc)
(2c, 3c, 4h, 4d, 4c)
(2h, 3h, 7d, 9d, Ah)
(4d, 5s, 6c, Qh, Kc)
(3d, 5d, Td, Jd, As)
(3s, 8s, 9c, Ad, Ah)
(3s, 5c, 6s, 7d, Qs)
(3s, Ts, Kh, As, Ad)
(7c, 9c, Qh, Qd, Kd)
(5c, 7d, Ts, Tc, Ks)
(7c, 9s, 9d, Tc, Qd)
(3s, 4d, Jh, Qd, Ah)
