(3s, 5s, 8h, Kh, Ah)
(3c, 3d, 4s, 5d, Js)
(3c, 5h, 6c, Td, Jd)
(4c, 5h, 7h, Ts, Td)
(4s, Tc, Qh, Ad, Ac)
(2h, 2d, 9d, Td, Qc)
(5c, 6s, 7h, 8c, Kd)
(2d, 6d, 7h, 9d, Tc)
(4h, 5s, 7s, Th, Ad)
(Jh, Qs, Qc, Kd, As)
(3s, 4s, 6h, Jh, Ah)
(2s, 6c, 9c, Td, Qc)
(2h, 3c, 4c, 7c, Kh)
(3h, 4c, 5d, 9s, Ts)
(5d, 7s, 9d, Tc, Ac)
(3d, 4s, 6h, 9d, Qh)
(5s, 7d, 8c, 9c, Qc)
(2c, 5c, 7c, 7d, Th)
(5d, 6d, 9h, Kd, As)
(3h, 7s, 9c, Ts, Kh)
(8h, Tc, Jh, Kh, Ad)
(2d, 3s, 3c, 7c, Ks)
(2h, 8h, Ts, Qc, As)
(3s, 6h, 7h, Qd, Ad)
(5c, 6h, 9h, Kh, Ah)
(3h, 6d, 8d, 8c, Tc)
(5d, 8s, Tc, Js, Kc)
(3s, 4d, 8h, Qc, Kh)
(8h, Td, Ts, Qc, Ks)
(3h, 6c, 7d, 9c, As)
(3s, 3h, Th, Qh, Qd)
(4h, 5s, 7c, Jh, Ah)
(3d, 7h, Qh, Kd, Kh)
(3h, Ts, Js, Kh, As)
(2d, 4c, 5c, Qh, Ac)
(5d, 6d, Tc, Qs, As)
(4d, 8c, Jc, Jd, Qh)
(2d, 3s, 4s, 9h, Kh)
(5h, Th, Tc, Jd, Jc)
(6s, 6h, 7s, Qs, As)
(2d, 5d, Qd, Qs, Kc)
(5h, Ts, Jc, Qh, Qd)
(5c, 6d, Qs, Kc, Ah)
(6d, 8c, 9c, 9h, As)
(3h, 5h, 6d, 9d, Ad)
(5h, 8h, Tc, Qc, Ks)
(7c, 9d, 9s, Js, Qc)
(5s, 6s, 9s, Th, Qs)
(3c, 4c, 6h, 9c, Ah)
(6d, 7c, 7h, 8h, Kc)
(2s, 3d, 6d, 8d, 9s)
(8h, 8s, 9h, Td, Jd)
(6d, 6s, 8s, Js, Ks)
(2c, 3c, 3h, 4h, As)
(2s, 8c, Jh, As, Ac)
(2s, 5h, 6s, 7s, 9h)
(2c, 3c, 4h, 8s, 9d)
(6s, 8s, 8h, Kh, Ah)
(5h, 6c, Js, Jd, Ac)
(2s, 9s, Qc, Qh, Ad)
(7c, 8s, 9d, Kc, Ah)
(4h, 7d, Th, Jd, Jc)
(2h, 4c, 5d, 9h, Qs)
(3c, 3s, 4s, 7s, 9c)
(3d, 3h, 3c, 4h, Kh)
(2c, 5d, 7c, Jh, Qh)
(3h, 6s, Tc, Qd, Kc)
(6s, 8h, 9s, Ks, Ah)
(2s, 5h, 7c, 9h, Kd)
(2d, 8h, 9d, Jd, Js)
(2c, 3c, 6h, 7s, Kd)
(4s, 5h, 6c, Kc, Ks)
(2c, 5c, 6c, 9h, 9d)
(6s, 9c, Td, Ks, Kd)
(3c, 6s, Kh, Ks, Ad)
(6c, 7c, 8d, 9d, 9s)
(7c, Th, Js, Qc, Kc)
(2h, 4s, 8h, 8s, Jc)
(3d, 4d, Td, Qh, Kd)
(2h, 5d, 7s, Jc, Ks)
(6s, 8h, Js, Ks, Ad)
(5s, 8d, 9h, 9d, Kd)
(3s, 6h, 6s, 6c, 8c)
(7c, 8s, 9c, Td, Kd)
(3d, 3h, 8s, Th, Ks)
(2h, 2s, 9h, Qd, Ah)
(7c, 8s, Ts, Jd, As)
(4d, 6d, 8h, Td, Qc)
(7d, Th, Js, Qs, Ah)
(4h, 5c, 9d, Kh, As)
(2h, 3c, 7d, 7s, Js)
(3s, 7c, 8d, Kh, Ac)
(2c, 3d, Kc, Ac, As)
(3d, 6c, 8h, Js, Jd)
(8s, Qc, Qh, Qd, Kd)
(4h, 5d, 5s, 6c, 9d)
(3h, 5c, 5d, 6s, 8d)
(4d, 6d, 6c, Qd, Ad)
(4d, 7c, 7d, 9d, Ac)
(2c, Ks, Kh, As, Ac)
(2d, 3s, 8d, 9h, Tc)
(4h, 7h, 9s, Jh, Kc)
(3h, 4h, 7d, 8h, Ks)
(5h, 7d, Td, Qc, Ah)
(3d, 3c, 5c, 5s, Jd)
(3h, 6c, 6h, 9s, Kd)
(7c, 7h, 8h, 8s, Ad)
(5d, 7c, Td, Qc, Ad)
(3d, 3c, 6d, 9h, Ts)
(2d, 5s, 9c, Kh, Ac)
(Tc, Jd, Qh, Kh, Ac)
(4d, 6h, 7s, Ks, Kc)
(4s, 7d, 8h, 9s, Ah)
(2s, 4d, 8c, 8h, Qh)
(4d, 5h, 5c, 6c, Qh)
(2c, 8h, 9h, Th, Qh)
(2h, 3h, 3d, 6d, Ac)
(4c, 5s, 6s, 6h, 8c)
(2c, 4c, Qd, Kc, Ac)
(3s, 4d, 6s, 9c, Qd)
(3s, 7c, 9h, 9s, Qd)
(5c, 9h, Qh, Ac, As)
(4h, 4s, 6c, Js, Ks)
(5d, 5h, 6d, 9d, Kc)
(4c, 5s, 6c, 9c, 9s)
(2s, 5s, Tc, Kc, Ks)
(5h, Qc, Kd, Ks, Ah)
(2c, 3h, 9c, Jd, Qh)
(3d, Td, Ts, Jd, Kd)
(2d, 3h, 3d, 8s, Qs)
(7s, Tc, Jc, Qd, Ac)
(2c, 7h, 8c, 9h, Jh)
(4s, Th, Tc, Qd, Qc)
(4s, 7d, Js, Kc, Ad)
(4d, 6s, Tc, Qs, Kh)
(3c, 7c, 9h, Js, Kd)
(7h, 9s, Tc, Ad, Ac)
(4h, Jd, Jc, Qd, Ac)
(4c, 5d, 6d, Jc, Ks)
(2d, 2h, 7d, 8c, Ac)
(2h, 6h, 7h, 7d, Jh)
(2d, 3s, 5s, Kc, Ks)
(5c, 9h, Td, Kd, As)
(2c, 6h, 7d, 9h, Js)
(2s, 7d, 7c, Qc, Ah)
(4c, 9s, Js, Kd, Ac)
(5h, 9s, Qh, Kd, Ad)
(2h, 8c, 8h, Jd, Kd)
(2d, 8c, Jd, Qd, Ks)
(2d, 6h, Ts, Qs, Ah)
(2d, 3d, 5h, 6s, 9h)
(2d, 2h, 4s, 8c, Tc)
(2c, 5s, 6s, 7h, Kc)
(6h, 7s, 9s, Js, As)
(3d, 4d, 5h, 7s, Qc)
(8h, 9c, Tc, Ts, Kh)
(3d, 4d, 9d, Jh, Kd)
(8h, 8s, Qc, Qh, Ad)
(4c, 5d, 6d, Kh, As)
(2c, 3s, 7d, 8h, Tc)
(4c, 8h, 8d, Jh, As)
(2h, 5s, Jd, Ah, As)
(5d, 8h, 9d, Qs, Qc)
(7h, 8c, Qd, Qh, As)
(3c, 7c, Tc, Jc, Ad)
(6s, 9s, 9c, Kh, Ad)
(4d, 5h, 5c, 8c, Jh)
(3s, 9d, 9c, 9s, Jh)
(4h, 5s, 7h, 9s, 9c)
(2c, 4s, 5d, 7c, 7d)
(3c, 7c, 7s, 9d, 9h)
(2s, 3d, 7d, Td, Qd)
(2d, 5d, 5s, Td, Kc)
(5s, 8d, 9h, Ts, Kd)
(3d, 4d, 7s, Th, Kh)
(7h, 7c, Jh, Js, Ac)
(3c, 6s, 7c, 9c, Kd)
(6c, 9d, Kh, Kc, Ad)
(3c, 4d, 7s, Jc, Ah)
(8c, 9h, Jh, Qc, Ah)
(3s, 6c, 6h, Th, Jh)
(2s, 4h, 8c, Th, Qh)
(3d, 6h, 6s, Th, Kh)
(2d, 6d, 6s, 9s, Ks)
(2s, 6s, Td, Kc, Ad)
(4c, 6c, 7h, 9h, Th)
(7s, 8c, 9d, Kh, As)
(6s, 7h, 8s, 9h, Ac)
(3s, 5c, 7c, 7d, 9s)
(3s, 5c, 6s, Js, Kc)
(4h, 8d, 8s, 9s, Th)
(4h, 5s, 5d, 6d, Jd)
(3d, 4h, 4d, 9d, Ac)
(3c, 5s, 6h, Td, As)
(2h, 3h, Tc, Ts, Js)
(5c, 7d, 8h, 9s, Qc)
(3c, 5s, 6d, Qc, Kh)
(4h, 8c, Js, Qd, Kh)
(9d, 9c, Jc, Kc, Ad)
(3d, 4d, Th, Kh, Kd)
(5d, 9d, Js, Ac, Ah)
(4s, 6s, Td, Qc, Ac)
(3d, 5c, 8c, Jd, Qd)
(6s, 6h, 7s, Jh, Qh)
(3c, 6c, 7s, Kh, Ad)
(4d, 4h, 8s, Ts, Qc)
(3h, 3c, 6s, Kd, Kh)
(2d, 5d, 9d, Td, Js)
(3c, 5c, Jh, Kh, Ac)
(2h, 6s, 8d, 9c, Kh)
(5h, 7h, 9s, Ad, As)
(4c, 4s, 6c, 7c, Ks)
(2c, 6h, 7s, Tc, Js)
(4h, 6h, 7h, 8c, Kh)
(7h, 8d, Th, Qc, Ah)
(4h, 6h, 7d, Js, Kc)
(3s, 3d, 5h, 9h, As)
(3h, 5s, 9h, Jd, Qd)
(5s, 7h, 7c, 8d, Qs)
(3d, 5s, 8s, Kd, Ad)
(3s, 5h, 7h, Th, Kh)
(2d, 7c, Qd, Qh, As)
(2h, 6s, Kh, Ad, As)
(2c, 2h, 8c, 8d, Qd)
(5c, 6h, 7d, 7s, Tc)
(5s, 8c, Qs, Ks, As)
(3s, 3c, 4c, 5h, Jd)
(8s, 9s, Ts, Jc, Kc)
(4s, 6d, Ts, Jc, Ks)
(3h, 7d, 8h, 9h, Tc)
(3d, 7d, 8d, Tc, Qc)
(3h, 5s, 6d, 7c, As)
(4h, 5s, 9d, Qs, Ks)
(2d, 7h, 7s, Ad, As)
(3c, 6h, 7h, 9c, Kd)
(2s, 3c, 5c, 7s, 7d)
(3h, 4d, Ts, Jd, Js)
(2s, 3c, 3d, 7h, Kc)
(4h, 9h, Tc, As, Ah)
(5s, Tc, Js, Qh, Ac)
(4d, 6h, Th, Jc, Kc)
(2h, 3h, 5s, Qd, Ah)
(3s, 6d, 8d, Tc, Js)
(3c, 5s, 7s, Jh, Ac)
(7c, 9d, Th, Kc, Kh)
(3s, 5h, Td, Kd, As)
(5s, 8d, 9h, Ts, Jh)
(5h, 6s, 8h, Jh, Ks)
(5d, 6s, Jd, Ks, Ad)
(3d, 4s, 8c, Qh, Ks)
(3h, 5s, 8s, Kh, As)
(2c, 3d, 7s, 8s, Tc)
(8d, 9h, 9s, Jh, Qc)
(2c, 6s, 9s, Jc, Qs)
(2h, 6c, Qh, Ks, As)
(3s, 7s, 9c, Kc, Ac)
(3s, 6c, 9s, Th, Ks)
(5d, 5h, 6d, Qs, Qc)
(3c, 8c, 8s, Jh, Kc)
(3s, 5c, 8c, 9h, Kd)
(2c, 4s, 7h, Th, Kd)
(3s, 4h, 6h, 8h, Jc)
(3d, 4d, 6c, 8c, Ah)
(3d, 3h, 4h, 7d, 9h)
(5c, 9s, Jc, Kh, Ad)
(2c, 7c, 7d, Tc, Ts)
(2s, 2c, 8c, Qh, Kd)
(5h, 5c, 9h, Ks, Ah)
(5h, 7h, 7c, 7s, 8h)
(4d, 7d, Jh, Kc, Ah)
(3s, 3d, 4s, Jh, Kc)
(3h, 6d, 8d, 8h, 9d)
(6d, 6c, 7d, 8d, Qh)
(3s, 8d, Jd, Ac, Ad)
(5s, 8h, 9c, Tc, Js)
(8c, 9s, 9d, Th, Ah)
(4h, 5h, 7h, Jd, Kd)
(3s, 4h, 9h, Tc, Js)
(4c, 7s, Th, Jc, Kh)
(2s, 4h, 7h, 8c, As)
(2h, 3c, 3d, 8s, Qh)
(2d, 3h, 6d, 7h, Td)
(2d, 4d, Jc, Qs, Ks)
(3s, 6c, 7c, Qc, Ks)
(4d, 9h, Th, Ad, Ah)
(3c, 5d, 7s, Td, Js)
(2d, 5s, 5c, Qd, Ac)
(3c, 6s, Ks, Kh, Kc)
(4h, 8c, Th, Qc, As)
(8s, 8c, 9c, Td, As)
(2d, 4d, 5c, 8c, Ac)
(2h, 4s, Td, Js, Jd)
(5d, Js, Jh, Kh, Ks)
(2h, 3h, 7s, Ts, Ah)
(2h, 4d, 5c, 7d, 9h)
(5d, 6s, 7c, Ts, Kd)
(9c, 9s, Th, Qd, Kd)
(6s, Ts, Js, Qc, Ac)
(2c, 2d, 2s, 7c, Ad)
(2s, 3h, 4h, 8h, 8d)
(3c, 9d, Th, Tc, Kd)
(5s, 6s, 9h, Ts, Kh)
(2h, 7c, 7s, 8s, 9d)
(3h, 6c, 7d, 7c, Jc)
(3c, 7c, 9c, Jh, Qs)
(7s, 8d, 9h, Jh, Qc)
(6h, 9c, 9d, Jd, Qc)
(3c, 5h, Jc, Js, As)
(3d, 3h, Qc, Ks, Ad)
(2c, 4d, 8c, 9c, Th)
(2d, 6d, 8h, Ts, Qd)
(4c, 5h, Js, Qs, Kh)
(3d, 6d, Qs, Qc, Ac)
(4c, 5s, 5h, Jd, Ac)
(6h, 9s, Ts, Jh, Ks)
(3c, 4c, 7d, Qs, Ks)
(2h, 2c, 4h, 6c, Qc)
(2s, 4d, 7s, Js, Qh)
(2s, 4d, 6h, 6d, Qh)
(2s, 5d, 5h, 8s, Tc)
(4s, 5d, 9h, 9c, Qd)
